ethnicity,recall,auroc,auprc,n,n_positive
white,0.627404,0.847977,0.376851,4599,416
black,0.408163,0.817004,0.301215,591,49
hispanic,0.307692,0.811292,0.223487,216,13
asian,0.631579,0.859523,0.557023,158,19
other,0.816667,0.851783,0.502241,905,120
