ethnicity,recall,auroc,auprc,n,n_positive
white,0.627404,0.842549,0.365489,4599,416
black,0.571429,0.802131,0.309669,591,49
hispanic,0.538462,0.780220,0.209310,216,13
asian,0.631579,0.854601,0.536419,158,19
other,0.566667,0.844257,0.496783,905,120
