ethnicity,recall,auroc,auprc,n,n_positive
white,0.651442,0.847501,0.376070,4599,416
black,0.632653,0.812109,0.295337,591,49
hispanic,0.538462,0.809776,0.219695,216,13
asian,0.684211,0.856872,0.552548,158,19
other,0.633333,0.852665,0.504448,905,120
