ethnicity,recall,auroc,auprc,n,n_positive
white,0.644231,0.840699,0.366183,4599,416
black,0.551020,0.796822,0.290139,591,49
hispanic,0.538462,0.798787,0.220358,216,13
asian,0.736842,0.847785,0.510805,158,19
other,0.641667,0.856019,0.509800,905,120
