epoch,metric_name,metric_value,worst_group_tpr,operating_threshold,alert_low_worst_group_tpr,white_tpr,white_n_pos,white_insufficient_support,black_tpr,black_n_pos,black_insufficient_support,hispanic_tpr,hispanic_n_pos,hispanic_insufficient_support,asian_tpr,asian_n_pos,asian_insufficient_support,other_tpr,other_n_pos,other_insufficient_support
2,max_minus_min_ethnicity_tpr_gap,0.02389128728414447,0.8775510204081632,0.5,False,0.9014423076923077,416,False,0.8775510204081632,49,False,,13,True,,19,True,0.8916666666666667,120,False
3,max_minus_min_ethnicity_tpr_gap,0.03826530612244894,0.8367346938775511,0.5,False,0.875,416,False,0.8367346938775511,49,False,,13,True,,19,True,0.8666666666666667,120,False
4,max_minus_min_ethnicity_tpr_gap,0.031053767660910503,0.8367346938775511,0.5,False,0.8677884615384616,416,False,0.8367346938775511,49,False,,13,True,,19,True,0.8583333333333333,120,False
5,max_minus_min_ethnicity_tpr_gap,0.055043171114599665,0.7959183673469388,0.5,False,0.8509615384615384,416,False,0.7959183673469388,49,False,,13,True,,19,True,0.825,120,False
6,max_minus_min_ethnicity_tpr_gap,0.04783163265306123,0.7959183673469388,0.5,False,0.84375,416,False,0.7959183673469388,49,False,,13,True,,19,True,0.825,120,False
7,max_minus_min_ethnicity_tpr_gap,0.05862441130298279,0.7755102040816326,0.5,False,0.8341346153846154,416,False,0.7755102040816326,49,False,,13,True,,19,True,0.7916666666666666,120,False
8,max_minus_min_ethnicity_tpr_gap,0.05622056514913665,0.7755102040816326,0.5,False,0.8317307692307693,416,False,0.7755102040816326,49,False,,13,True,,19,True,0.7916666666666666,120,False
9,max_minus_min_ethnicity_tpr_gap,0.05862441130298279,0.7755102040816326,0.5,False,0.8341346153846154,416,False,0.7755102040816326,49,False,,13,True,,19,True,0.7916666666666666,120,False
10,max_minus_min_ethnicity_tpr_gap,0.05018642072213508,0.7551020408163265,0.5,False,0.8052884615384616,416,False,0.7551020408163265,49,False,,13,True,,19,True,0.7916666666666666,120,False
11,max_minus_min_ethnicity_tpr_gap,0.05018642072213508,0.7551020408163265,0.5,False,0.8052884615384616,416,False,0.7551020408163265,49,False,,13,True,,19,True,0.7916666666666666,120,False
12,max_minus_min_ethnicity_tpr_gap,0.05259026687598123,0.7551020408163265,0.5,False,0.8076923076923077,416,False,0.7551020408163265,49,False,,13,True,,19,True,0.7916666666666666,120,False
13,max_minus_min_ethnicity_tpr_gap,0.04537872841444279,0.7551020408163265,0.5,False,0.8004807692307693,416,False,0.7551020408163265,49,False,,13,True,,19,True,0.7916666666666666,120,False
14,max_minus_min_ethnicity_tpr_gap,0.04778257456828894,0.7551020408163265,0.5,False,0.8028846153846154,416,False,0.7551020408163265,49,False,,13,True,,19,True,0.7916666666666666,120,False
15,max_minus_min_ethnicity_tpr_gap,0.038167189952904246,0.7551020408163265,0.5,False,0.7932692307692307,416,False,0.7551020408163265,49,False,,13,True,,19,True,0.7916666666666666,120,False
16,max_minus_min_ethnicity_tpr_gap,0.04057103610675039,0.7551020408163265,0.5,False,0.7956730769230769,416,False,0.7551020408163265,49,False,,13,True,,19,True,0.7916666666666666,120,False
17,max_minus_min_ethnicity_tpr_gap,0.04057103610675039,0.7551020408163265,0.5,False,0.7956730769230769,416,False,0.7551020408163265,49,False,,13,True,,19,True,0.7916666666666666,120,False
18,max_minus_min_ethnicity_tpr_gap,0.04297488226059665,0.7551020408163265,0.5,False,0.7980769230769231,416,False,0.7551020408163265,49,False,,13,True,,19,True,0.7916666666666666,120,False
19,max_minus_min_ethnicity_tpr_gap,0.060979199372056425,0.7346938775510204,0.5,False,0.7956730769230769,416,False,0.7346938775510204,49,False,,13,True,,19,True,0.7916666666666666,120,False
20,max_minus_min_ethnicity_tpr_gap,0.060979199372056425,0.7346938775510204,0.5,False,0.7956730769230769,416,False,0.7346938775510204,49,False,,13,True,,19,True,0.7916666666666666,120,False
